Empresa;Activos;Ingresos;Utilidad Neta
Ingenieros servicios constructivos sas;13.283.672;2.495.661;24.429
No encontrado;13.283.672;2.495.661;24.429
Construcciones industriales y servicios super sas;21.091.663;11.615.843;166.730
No encontrado;21.091.663;11.615.843;166.730
Cereria el sagrado corazon ltd;5.741.062;12.200.295;939.640
No encontrado;5.741.062;12.200.295;939.640
Inversiones schlegel donado sas;7.553.038;240.000;46.798
No encontrado;7.553.038;240.000;46.798
Avicola el madroño sa;269.282.309;671.474.091;13.721.039
No encontrado;269.282.309;671.474.091;13.721.039
Zr ingenieria sa;5.947.948;83.268;138.775
No encontrado;5.947.948;83.268;138.775
Pelanas sas;3.870.829;4.244.334;13.971
No encontrado;3.870.829;4.244.334;13.971
Pardentales ltda;8.451.537;12.181.444;936.407
No encontrado;8.451.537;12.181.444;936.407
Acomedios publicidad y mercadeo sas;19.875.686;36.192.957;3.719.186
No encontrado;19.875.686;36.192.957;3.719.186
Inversiones losfalk s.a.s;20.791.189;1.342.740;305.944
No encontrado;20.791.189;1.342.740;305.944
No encontrado;No encontrado;No encontrado;No encontrado
Rivera correa y cruz y compañia limitada;1.950.640;6.321.097;10.393
No encontrado;1.950.640;6.321.097;10.393
Compañia promotora nueva gran américa sas compañia promotora nueva gran américa sas;20.547.199;124.649;527.444
No encontrado;20.547.199;124.649;527.444
Suplementos y aditivos s.a.;4.785.508;3.524.119;404.610
No encontrado;4.785.508;3.524.119;404.610
Petrosantander colombia gmbh;514.068.379;208.981.353;95.081.209
No encontrado;514.068.379;208.981.353;95.081.209
Distribuciones industriales alipar & compania limitada;6.757.967;5.478.446;733.166
No encontrado;6.757.967;5.478.446;733.166
Procter & gamble colombia ltda;695.923.808;1.396.438.988;8.123.222
No encontrado;695.923.808;1.396.438.988;8.123.222
Mocer sas;1.471.501;2.719.560;15.042
No encontrado;1.471.501;2.719.560;15.042
Distribuidora de drogas la rebaja principal sa;9.026.216;5.879.193;3.085.357
No encontrado;9.026.216;5.879.193;3.085.357
Maya y bedoya ltda;5.049.967;17.945.807;401.195
No encontrado;5.049.967;17.945.807;401.195
Agropecuaria vargas vallejo y cia sas - en reorganizacion;62.187.699;14.009.055;1.549.266
No encontrado;62.187.699;14.009.055;1.549.266
No encontrado;No encontrado;No encontrado;No encontrado
Inveersiones conavel y asociados sas;5.339.518;442.832;14.323
No encontrado;5.339.518;442.832;14.323
Inversiones urapanes s.a.s.;33.996.751;0;1.258.315
No encontrado;33.996.751;0;1.258.315
Danador sas;231.338.054;133.172;19.372
No encontrado;231.338.054;133.172;19.372
La casa de la tractomula ltda;7.444.527;9.604.819;729.981
No encontrado;7.444.527;9.604.819;729.981
Rojas serrano diaz sas;1.998.348;1.002.553;17.374
No encontrado;1.998.348;1.002.553;17.374
Productos rank sas;3.137.975;1.179.240;93.393
No encontrado;3.137.975;1.179.240;93.393
Knightsbridge schools international bogota sas;26.629.717;4.903.278;2.607.301
No encontrado;26.629.717;4.903.278;2.607.301
Colsein sas;18.786.910;27.063.634;2.933.218
No encontrado;18.786.910;27.063.634;2.933.218
Gimnasio fontana sa;45.518.500;26.872.096;2.737.293
No encontrado;45.518.500;26.872.096;2.737.293
Optica iris sas bic;3.796.458;3.544.101;57.405
No encontrado;3.796.458;3.544.101;57.405
No encontrado;No encontrado;No encontrado;No encontrado
Inversiones buenos aires ltda;4.199.544;1.533.418;39.113
No encontrado;4.199.544;1.533.418;39.113
Agroindustrial san jose limitada.;3.258.633;670.002;8.739
No encontrado;3.258.633;670.002;8.739
